source node,target node,path size
7,20544,9
7,20553,9
7,20552,9
7,20551,9
7,20032,9
7,8214,9
7,20581,9
7,20548,9
7,20547,9
7,20546,9
7,20557,9
7,20545,9
7,20556,9
7,16707,9
7,13884,9
7,13960,9
7,17786,9
7,20974,9
7,37775,10
7,20357,10
7,27863,10
7,20031,10
7,20358,10
7,19347,10
7,19441,10
7,18220,10
7,19440,10
7,18221,10
7,18222,10
7,29011,11
7,28949,11
7,28716,11
7,28715,11
7,14409,11
7,19346,11
448,448,0
448,89,1
448,5496,1
448,49,1
448,2111,1
448,180,1
448,2175,1
448,2197,1
448,1096,1
448,194,1
448,2060,1
448,132,1
448,1425,1
448,156,1
448,102,1
448,2214,1
448,3533,1
448,2212,1
448,3158,1
448,7,1
448,304,1
448,1276,1
448,2211,1
448,4202,1
448,328,1
448,307,1
448,813,1
448,4204,1
448,4206,1
448,63,1
448,2011,2
448,1053,2
448,1251,2
448,1052,2
448,1051,2
448,394,2
448,154,2
448,363,2
448,870,2
448,155,2
448,520,2
448,635,2
448,519,2
448,4172,2
448,4183,2
448,4173,2
448,4184,2
448,2067,2
448,172,2
448,196,2
448,4171,2
448,840,2
448,712,2
448,515,2
448,713,2
448,946,2
448,947,2
448,1911,2
448,13658,2
448,1634,2
448,1633,2
448,748,2
448,980,2
448,1953,2
448,9068,2
448,8847,2
448,4710,2
448,85,2
448,1632,2
448,1621,2
448,1421,2
448,901,2
448,7561,2
448,7560,2
448,7563,2
448,1885,2
448,7562,2
448,7103,2
448,7532,2
448,7565,2
448,7564,2
448,7104,2
448,2068,2
448,7643,2
448,3638,2
448,3639,2
448,10991,2
448,1922,2
448,1082,2
448,1081,2
448,1921,2
448,12,2
448,649,2
448,1252,3
448,1639,3
448,21339,3
448,21338,3
448,39,3
448,260,3
448,393,3
448,2062,3
448,460,3
448,2061,3
448,375,3
448,364,3
448,575,3
448,278,3
448,322,3
448,279,3
448,1201,3
448,3312,3
448,803,3
448,42,3
448,1406,3
448,3319,3
448,1338,3
448,1972,3
448,1919,3
448,3788,3
448,435,3
448,11097,3
448,1422,3
448,2073,3
448,1390,3
448,2072,3
448,13729,3
448,17540,3
448,13730,3
448,13731,3
448,8948,3
448,12330,3
448,14885,3
448,24090,3
448,2069,3
448,3698,3
448,26607,3
448,26606,3
448,26605,3
448,26604,3
448,2190,3
448,24555,3
448,157,3
448,24554,3
448,4,3
448,2194,3
448,137,3
448,2027,4
448,4260,4
448,4261,4
448,4255,4
448,865,4
448,4259,4
448,2074,4
448,1342,4
448,541,4
448,2177,4
448,1408,4
448,30965,4
448,5581,4
448,5557,4
448,22113,4
448,12273,4
448,22114,4
448,25537,4
448,11242,4
448,11241,4
448,24098,4
448,29808,4
448,24099,4
448,4309,4
448,4295,4
448,4310,4
448,667,4
448,4302,4
448,4307,4
448,4308,4
448,12390,5
448,110,5
448,4373,5
448,4374,5
448,4364,5
448,4367,5
448,4368,5
448,18407,5
448,14478,5
448,18649,5
448,18408,5
448,18405,5
448,18406,5
448,25370,5
448,25350,5
448,25372,5
448,25371,5
448,25351,5
448,25431,5
448,24100,5
448,25430,5
448,25417,5
448,25416,5
448,15594,6
448,29802,6
448,15906,7
448,12281,7
448,8216,7
448,33661,7
448,30150,7
448,34749,7
448,20975,7
448,35874,8
448,36257,8
448,36256,8
448,36255,8
448,20544,8
448,20553,8
448,20552,8
448,20551,8
448,20032,8
448,8214,8
448,20581,8
448,20548,8
448,20547,8
448,20546,8
448,20557,8
448,20545,8
448,20556,8
448,16707,8
448,13884,8
448,13960,8
448,17786,8
448,20974,8
448,37775,9
448,20357,9
448,27863,9
448,20031,9
448,20358,9
448,19347,9
448,19441,9
448,18220,9
448,19440,9
448,18221,9
448,18222,9
448,29011,10
448,28949,10
448,28716,10
448,28715,10
448,14409,10
448,19346,10
63,63,0
63,1921,1
63,12,1
63,3158,1
63,448,1
63,4202,1
63,328,1
63,2197,1
63,649,1
63,194,1
63,1922,1
63,2190,2
63,24555,2
63,157,2
63,24554,2
63,4,2
63,2194,2
63,89,2
63,5496,2
63,49,2
63,2111,2
63,180,2
63,2175,2
63,1096,2
63,2060,2
63,132,2
63,1425,2
63,156,2
63,102,2
63,2214,2
63,3533,2
63,2212,2
63,7,2
63,304,2
63,1276,2
63,2211,2
63,307,2
63,813,2
63,4204,2
63,4206,2
63,3638,2
63,3639,2
63,10991,2
63,980,2
63,1953,2
63,9068,2
63,8847,2
63,4710,2
63,85,2
63,137,2
63,1632,2
63,1621,2
63,1421,2
63,1251,2
63,901,2
63,748,2
63,172,2
63,394,2
63,26607,2
63,26606,2
63,26605,2
63,26604,2
63,4309,3
63,4295,3
63,4310,3
63,667,3
63,4302,3
63,4307,3
63,4308,3
63,2011,3
63,1053,3
63,1052,3
63,1051,3
63,154,3
63,363,3
63,870,3
63,155,3
63,520,3
63,635,3
63,519,3
63,4172,3
63,4183,3
63,4173,3
63,4184,3
63,2067,3
63,196,3
63,4171,3
63,840,3
63,712,3
63,515,3
63,713,3
63,946,3
63,947,3
63,1911,3
63,13658,3
63,1634,3
63,1633,3
63,7561,3
63,7560,3
63,7563,3
63,1885,3
63,7562,3
63,7103,3
63,7532,3
63,7565,3
63,7564,3
63,7104,3
63,2068,3
63,7643,3
63,1082,3
63,1081,3
63,3698,3
63,3788,3
63,435,3
63,11097,3
63,1422,3
63,2073,3
63,1390,3
63,2072,3
